,X,Y,S
01011101,"[13.338887839617332, 13.343938608311158, 13.343369447942239, 13.3436890713674, 13.344188450008241, 13.34435785894278, 13.34732910848877, 13.347715462129662, 13.34807223074485, 13.34602052126443, 13.346425899202456, 13.348921000280422, 13.34902042204728, 13.348860463990647, 13.349790619934081, 13.351587954953139, 13.351796151141626, 13.352534357464007, 13.35257559315498, 13.351601180208561, 13.350336086459054, 13.349232250700322, 13.341500554555633, 13.33999998571739, 13.339066750910533, 13.338887839617332]","[52.5054247970294, 52.50643267713265, 52.50791413645149, 52.508365975272596, 52.50835099093538, 52.50811323081629, 52.507329485072205, 52.50726299127347, 52.507437287086525, 52.50813605824448, 52.509930799999495, 52.509690428312084, 52.50958640855657, 52.50948447642261, 52.50935544089143, 52.509764061293744, 52.5094374062364, 52.50655535377287, 52.505609173032845, 52.50575879840023, 52.50387309464448, 52.50307252653251, 52.504940412350685, 52.50515248343336, 52.505073826969394, 52.5054247970294]","[[13.338887839617332, 52.5054247970294], [13.343938608311158, 52.50643267713265], [13.343369447942239, 52.50791413645149], [13.3436890713674, 52.508365975272596], [13.344188450008241, 52.50835099093538], [13.34435785894278, 52.50811323081629], [13.34732910848877, 52.507329485072205], [13.347715462129662, 52.50726299127347], [13.34807223074485, 52.507437287086525], [13.34602052126443, 52.50813605824448], [13.346425899202456, 52.509930799999495], [13.348921000280422, 52.509690428312084], [13.34902042204728, 52.50958640855657], [13.348860463990647, 52.50948447642261], [13.349790619934081, 52.50935544089143], [13.351587954953139, 52.509764061293744], [13.351796151141626, 52.5094374062364], [13.352534357464007, 52.50655535377287], [13.35257559315498, 52.505609173032845], [13.351601180208561, 52.50575879840023], [13.350336086459054, 52.50387309464448], [13.349232250700322, 52.50307252653251], [13.341500554555633, 52.504940412350685], [13.33999998571739, 52.50515248343336], [13.339066750910533, 52.505073826969394], [13.338887839617332, 52.5054247970294]]"
01011102,"[13.331399175196527, 13.331602941140718, 13.331873927836874, 13.336159979246636, 13.336415783353813, 13.338091293180902, 13.33797786356247, 13.338089782361426, 13.33884560903786, 13.339250415229495, 13.343102312260529, 13.344079119356538, 13.344039330446112, 13.34524442708056, 13.345624460238326, 13.344605329703759, 13.345359061927361, 13.347221463407976, 13.347450030455178, 13.347290807917915, 13.347339879561511, 13.347528499479974, 13.348290708941725, 13.350300505847176, 13.353616041398883, 13.35513423962907, 13.35630185689512, 13.357718580601091, 13.35994019518705, 13.36240843404578, 13.365135948705637, 13.367242391483241, 13.368117467914407, 13.36970635664172, 13.370735332436476, 13.37169227005196, 13.372859278455074, 13.37395384650982, 13.375321840693369, 13.375881873004184, 13.376222841301665, 13.37686217064422, 13.376845106105257, 13.377188801561823, 13.376707817042771, 13.376670030085364, 13.37737388519216, 13.376696406856693, 13.376775789478392, 13.375808288887177, 13.37397540415473, 13.362999273361757, 13.357498878387974, 13.353393030762742, 13.351994316019194, 13.350649046402392, 13.349790619934081, 13.348860463990647, 13.34902042204728, 13.348921000280422, 13.346425899202456, 13.34602052126443, 13.34807223074485, 13.347715462129662, 13.34732910848877, 13.34435785894278, 13.344188450008241, 13.3436890713674, 13.343369447942239, 13.343938608311158, 13.338887839617332, 13.338638620145558, 13.336859388399853, 13.335761742675091, 13.334001415361435, 13.333751160836075, 13.334857751531835, 13.33469361375888, 13.33396443359881, 13.33389910526142, 13.33004227913171, 13.332755263624401, 13.334027256950868, 13.330978217769678, 13.330558414534844, 13.331399175196527]","[52.51287959037689, 52.51280370650603, 52.513030862412705, 52.5132849257136, 52.51381041314667, 52.513925952539665, 52.514382142231, 52.51484256616522, 52.51549499871259, 52.51531353961493, 52.51555739849356, 52.51575475922782, 52.515991030774536, 52.515964243671846, 52.516196120649205, 52.516628593132246, 52.51762878785698, 52.517806654033905, 52.5182260022955, 52.51848257400508, 52.51909832088768, 52.519092474665065, 52.51971070928273, 52.51965250693396, 52.51785213284951, 52.51722480527024, 52.517072895874875, 52.51713454051246, 52.51761041218845, 52.518950473295455, 52.51958465307076, 52.52035949977254, 52.52086641071007, 52.52226730563047, 52.522650595968194, 52.522781089184036, 52.52275034364083, 52.522510117785124, 52.52186145056803, 52.52131360395984, 52.5201604460474, 52.51963693826293, 52.517975329415734, 52.51684643964162, 52.51647424925445, 52.51611027335115, 52.51563812646236, 52.5127682176691, 52.512545499890315, 52.511980937506706, 52.511551939000185, 52.50982687879156, 52.509941219865155, 52.5096352300595, 52.50978387836003, 52.509641445367535, 52.50935544089143, 52.50948447642261, 52.50958640855657, 52.509690428312084, 52.509930799999495, 52.50813605824448, 52.507437287086525, 52.50726299127347, 52.507329485072205, 52.50811323081629, 52.50835099093538, 52.508365975272596, 52.50791413645149, 52.50643267713265, 52.5054247970294, 52.505920201992325, 52.50571912585156, 52.505795521613564, 52.50651816767902, 52.50672156118642, 52.50819624073374, 52.50873058241571, 52.50897593314115, 52.50884365774082, 52.51007502379861, 52.51096974261256, 52.51171605669515, 52.51238872936488, 52.51282985593743, 52.51287959037689]","[[13.331399175196527, 52.51287959037689], [13.331602941140718, 52.51280370650603], [13.331873927836874, 52.513030862412705], [13.336159979246636, 52.5132849257136], [13.336415783353813, 52.51381041314667], [13.338091293180902, 52.513925952539665], [13.33797786356247, 52.514382142231], [13.338089782361426, 52.51484256616522], [13.33884560903786, 52.51549499871259], [13.339250415229495, 52.51531353961493], [13.343102312260529, 52.51555739849356], [13.344079119356538, 52.51575475922782], [13.344039330446112, 52.515991030774536], [13.34524442708056, 52.515964243671846], [13.345624460238326, 52.516196120649205], [13.344605329703759, 52.516628593132246], [13.345359061927361, 52.51762878785698], [13.347221463407976, 52.517806654033905], [13.347450030455178, 52.5182260022955], [13.347290807917915, 52.51848257400508], [13.347339879561511, 52.51909832088768], [13.347528499479974, 52.519092474665065], [13.348290708941725, 52.51971070928273], [13.350300505847176, 52.51965250693396], [13.353616041398883, 52.51785213284951], [13.35513423962907, 52.51722480527024], [13.35630185689512, 52.517072895874875], [13.357718580601091, 52.51713454051246], [13.35994019518705, 52.51761041218845], [13.36240843404578, 52.518950473295455], [13.365135948705637, 52.51958465307076], [13.367242391483241, 52.52035949977254], [13.368117467914407, 52.52086641071007], [13.36970635664172, 52.52226730563047], [13.370735332436476, 52.522650595968194], [13.37169227005196, 52.522781089184036], [13.372859278455074, 52.52275034364083], [13.37395384650982, 52.522510117785124], [13.375321840693369, 52.52186145056803], [13.375881873004184, 52.52131360395984], [13.376222841301665, 52.5201604460474], [13.37686217064422, 52.51963693826293], [13.376845106105257, 52.517975329415734], [13.377188801561823, 52.51684643964162], [13.376707817042771, 52.51647424925445], [13.376670030085364, 52.51611027335115], [13.37737388519216, 52.51563812646236], [13.376696406856693, 52.5127682176691], [13.376775789478392, 52.512545499890315], [13.375808288887177, 52.511980937506706], [13.37397540415473, 52.511551939000185], [13.362999273361757, 52.50982687879156], [13.357498878387974, 52.509941219865155], [13.353393030762742, 52.5096352300595], [13.351994316019194, 52.50978387836003], [13.350649046402392, 52.509641445367535], [13.349790619934081, 52.50935544089143], [13.348860463990647, 52.50948447642261], [13.34902042204728, 52.50958640855657], [13.348921000280422, 52.509690428312084], [13.346425899202456, 52.509930799999495], [13.34602052126443, 52.50813605824448], [13.34807223074485, 52.507437287086525], [13.347715462129662, 52.50726299127347], [13.34732910848877, 52.507329485072205], [13.34435785894278, 52.50811323081629], [13.344188450008241, 52.50835099093538], [13.3436890713674, 52.508365975272596], [13.343369447942239, 52.50791413645149], [13.343938608311158, 52.50643267713265], [13.338887839617332, 52.5054247970294], [13.338638620145558, 52.505920201992325], [13.336859388399853, 52.50571912585156], [13.335761742675091, 52.505795521613564], [13.334001415361435, 52.50651816767902], [13.333751160836075, 52.50672156118642], [13.334857751531835, 52.50819624073374], [13.33469361375888, 52.50873058241571], [13.33396443359881, 52.50897593314115], [13.33389910526142, 52.50884365774082], [13.33004227913171, 52.51007502379861], [13.332755263624401, 52.51096974261256], [13.334027256950868, 52.51171605669515], [13.330978217769678, 52.51238872936488], [13.330558414534844, 52.51282985593743], [13.331399175196527, 52.51287959037689]]"
01011103,"[13.349232250700322, 13.350336086459054, 13.351601180208561, 13.352746369530832, 13.353814334256333, 13.353930647883526, 13.357547183507789, 13.362142391004202, 13.365873578531891, 13.36727268063248, 13.367687514633499, 13.365006585442522, 13.362537346883949, 13.357518969397601, 13.349232250700322]","[52.50307252653251, 52.50387309464448, 52.50575879840023, 52.50561136586198, 52.50581065528899, 52.505584442592166, 52.50636913662902, 52.50536491619464, 52.50572280351671, 52.50572587804941, 52.505538951320176, 52.50266187219251, 52.49966198654109, 52.501104741432954, 52.50307252653251]","[[13.349232250700322, 52.50307252653251], [13.350336086459054, 52.50387309464448], [13.351601180208561, 52.50575879840023], [13.352746369530832, 52.50561136586198], [13.353814334256333, 52.50581065528899], [13.353930647883526, 52.505584442592166], [13.357547183507789, 52.50636913662902], [13.362142391004202, 52.50536491619464], [13.365873578531891, 52.50572280351671], [13.36727268063248, 52.50572587804941], [13.367687514633499, 52.505538951320176], [13.365006585442522, 52.50266187219251], [13.362537346883949, 52.49966198654109], [13.357518969397601, 52.501104741432954], [13.349232250700322, 52.50307252653251]]"
01011104,"[13.362537346883949, 13.363516175867247, 13.36796947121749, 13.369409444546172, 13.370781849574024, 13.37237658483331, 13.373311837676464, 13.37138198030606, 13.370845368932585, 13.36935605623307, 13.362537346883949]","[52.49966198654109, 52.50096094999726, 52.50592862933635, 52.50573593406557, 52.505274264278334, 52.50454802018335, 52.50375563596351, 52.501573139853434, 52.49989862943139, 52.4987361241539, 52.49966198654109]","[[13.362537346883949, 52.49966198654109], [13.363516175867247, 52.50096094999726], [13.36796947121749, 52.50592862933635], [13.369409444546172, 52.50573593406557], [13.370781849574024, 52.505274264278334], [13.37237658483331, 52.50454802018335], [13.373311837676464, 52.50375563596351], [13.37138198030606, 52.501573139853434], [13.370845368932585, 52.49989862943139], [13.36935605623307, 52.4987361241539], [13.362537346883949, 52.49966198654109]]"
01011105,"[13.351587954953139, 13.353662449207084, 13.358241214264616, 13.362999273361757, 13.37397540415473, 13.375808288887177, 13.376775789478392, 13.376824919870925, 13.376391279793332, 13.37637603061566, 13.377648584426172, 13.374976639449914, 13.374681442439236, 13.373605511750794, 13.373243997892192, 13.372660353992991, 13.371543632101448, 13.369554093788109, 13.368166814948403, 13.36796947121749, 13.367687514633499, 13.36727268063248, 13.365873578531891, 13.362142391004202, 13.357981948779075, 13.357298297042092, 13.353930647883526, 13.353814334256333, 13.35257559315498, 13.352534357464007, 13.351796151141626, 13.351587954953139]","[52.509764061293744, 52.50964034543199, 52.509950095485046, 52.50982687879156, 52.511551939000185, 52.511980937506706, 52.512545499890315, 52.512194289482345, 52.51021265884259, 52.509004910731214, 52.50796695297219, 52.50337722652493, 52.50323459860418, 52.50416330033746, 52.50376627551849, 52.50435540197593, 52.50495326372, 52.50569850160397, 52.50593714909926, 52.50592862933635, 52.505538951320176, 52.50572587804941, 52.50572280351671, 52.50536491619464, 52.50632788393121, 52.506366772992735, 52.505584442592166, 52.50581065528899, 52.505609173032845, 52.50655535377287, 52.5094374062364, 52.509764061293744]","[[13.351587954953139, 52.509764061293744], [13.353662449207084, 52.50964034543199], [13.358241214264616, 52.509950095485046], [13.362999273361757, 52.50982687879156], [13.37397540415473, 52.511551939000185], [13.375808288887177, 52.511980937506706], [13.376775789478392, 52.512545499890315], [13.376824919870925, 52.512194289482345], [13.376391279793332, 52.51021265884259], [13.37637603061566, 52.509004910731214], [13.377648584426172, 52.50796695297219], [13.374976639449914, 52.50337722652493], [13.374681442439236, 52.50323459860418], [13.373605511750794, 52.50416330033746], [13.373243997892192, 52.50376627551849], [13.372660353992991, 52.50435540197593], [13.371543632101448, 52.50495326372], [13.369554093788109, 52.50569850160397], [13.368166814948403, 52.50593714909926], [13.36796947121749, 52.50592862933635], [13.367687514633499, 52.505538951320176], [13.36727268063248, 52.50572587804941], [13.365873578531891, 52.50572280351671], [13.362142391004202, 52.50536491619464], [13.357981948779075, 52.50632788393121], [13.357298297042092, 52.506366772992735], [13.353930647883526, 52.505584442592166], [13.353814334256333, 52.50581065528899], [13.35257559315498, 52.505609173032845], [13.352534357464007, 52.50655535377287], [13.351796151141626, 52.5094374062364], [13.351587954953139, 52.509764061293744]]"
01011201,"[13.376775789478392, 13.376696406856693, 13.37737388519216, 13.376727953283691, 13.381088651144022, 13.38170500773177, 13.384340686152333, 13.384758921235466, 13.385925597504743, 13.386788346849798, 13.386911011678887, 13.38854925748502, 13.390067493793463, 13.390171374504728, 13.390458434698676, 13.390493376742288, 13.378940144501968, 13.37637603061566, 13.376391279793332, 13.376824919870925, 13.376775789478392]","[52.512545499890315, 52.5127682176691, 52.51563812646236, 52.51603040861012, 52.51622107848318, 52.51506667758289, 52.51524016475509, 52.513928064294916, 52.511756592012375, 52.511835634329934, 52.51094982372883, 52.5092420358817, 52.50818736315766, 52.50777694027428, 52.50779818429521, 52.50760233051777, 52.50692991996072, 52.509004910731214, 52.51021265884259, 52.512194289482345, 52.512545499890315]","[[13.376775789478392, 52.512545499890315], [13.376696406856693, 52.5127682176691], [13.37737388519216, 52.51563812646236], [13.376727953283691, 52.51603040861012], [13.381088651144022, 52.51622107848318], [13.38170500773177, 52.51506667758289], [13.384340686152333, 52.51524016475509], [13.384758921235466, 52.513928064294916], [13.385925597504743, 52.511756592012375], [13.386788346849798, 52.511835634329934], [13.386911011678887, 52.51094982372883], [13.38854925748502, 52.5092420358817], [13.390067493793463, 52.50818736315766], [13.390171374504728, 52.50777694027428], [13.390458434698676, 52.50779818429521], [13.390493376742288, 52.50760233051777], [13.378940144501968, 52.50692991996072], [13.37637603061566, 52.509004910731214], [13.376391279793332, 52.51021265884259], [13.376824919870925, 52.512194289482345], [13.376775789478392, 52.512545499890315]]"
01011202,"[13.376727953283691, 13.376650892525172, 13.377188801561823, 13.376845106105257, 13.37686217064422, 13.377931226318335, 13.379076985871874, 13.381564515462799, 13.385142987626448, 13.387703990587589, 13.388885005694704, 13.391732259858168, 13.393431080299479, 13.393708824269597, 13.393591665186634, 13.39386266400044, 13.396311462163263, 13.39695703376475, 13.397260942073359, 13.39663161096549, 13.398671590431736, 13.399732134911478, 13.39992905386825, 13.400096828977953, 13.400871038944809, 13.402265343872811, 13.39957775156701, 13.398250966315308, 13.39812200274231, 13.376727953283691]","[52.51603040861012, 52.516378054725315, 52.51684643964162, 52.517975329415734, 52.51963693826293, 52.51920609100062, 52.519003582157715, 52.51913547915698, 52.52017358694558, 52.52169485087145, 52.52207820007623, 52.52217375691468, 52.52187514251653, 52.52202128347669, 52.522162153413035, 52.522182458616825, 52.52183943996496, 52.522081553644036, 52.52198957375161, 52.521755581845014, 52.521294075753396, 52.52047656193817, 52.52055782485426, 52.5203047043413, 52.51986760340049, 52.51858695840678, 52.517542093439474, 52.517462340172315, 52.51733087671967, 52.51603040861012]","[[13.376727953283691, 52.51603040861012], [13.376650892525172, 52.516378054725315], [13.377188801561823, 52.51684643964162], [13.376845106105257, 52.517975329415734], [13.37686217064422, 52.51963693826293], [13.377931226318335, 52.51920609100062], [13.379076985871874, 52.519003582157715], [13.381564515462799, 52.51913547915698], [13.385142987626448, 52.52017358694558], [13.387703990587589, 52.52169485087145], [13.388885005694704, 52.52207820007623], [13.391732259858168, 52.52217375691468], [13.393431080299479, 52.52187514251653], [13.393708824269597, 52.52202128347669], [13.393591665186634, 52.522162153413035], [13.39386266400044, 52.522182458616825], [13.396311462163263, 52.52183943996496], [13.39695703376475, 52.522081553644036], [13.397260942073359, 52.52198957375161], [13.39663161096549, 52.521755581845014], [13.398671590431736, 52.521294075753396], [13.399732134911478, 52.52047656193817], [13.39992905386825, 52.52055782485426], [13.400096828977953, 52.5203047043413], [13.400871038944809, 52.51986760340049], [13.402265343872811, 52.51858695840678], [13.39957775156701, 52.517542093439474], [13.398250966315308, 52.517462340172315], [13.39812200274231, 52.51733087671967], [13.376727953283691, 52.51603040861012]]"
01011203,"[13.381088651144022, 13.39812200274231, 13.398250966315308, 13.39957775156701, 13.402265343872811, 13.403663247306271, 13.402021102092593, 13.398012066451006, 13.396812292781082, 13.39733819808221, 13.396697871311726, 13.385925597504743, 13.384758921235466, 13.384340686152333, 13.38170500773177, 13.381088651144022]","[52.51622107848318, 52.51733087671967, 52.517462340172315, 52.517542093439474, 52.51858695840678, 52.51715540689093, 52.51651600158657, 52.51552340813901, 52.51537737781466, 52.513102093296865, 52.5124618536077, 52.511756592012375, 52.513928064294916, 52.51524016475509, 52.51506667758289, 52.51622107848318]","[[13.381088651144022, 52.51622107848318], [13.39812200274231, 52.51733087671967], [13.398250966315308, 52.517462340172315], [13.39957775156701, 52.517542093439474], [13.402265343872811, 52.51858695840678], [13.403663247306271, 52.51715540689093], [13.402021102092593, 52.51651600158657], [13.398012066451006, 52.51552340813901], [13.396812292781082, 52.51537737781466], [13.39733819808221, 52.513102093296865], [13.396697871311726, 52.5124618536077], [13.385925597504743, 52.511756592012375], [13.384758921235466, 52.513928064294916], [13.384340686152333, 52.51524016475509], [13.38170500773177, 52.51506667758289], [13.381088651144022, 52.51622107848318]]"
01011204,"[13.386788346849798, 13.396697871311726, 13.39733819808221, 13.396812292781082, 13.398012066451006, 13.402021102092593, 13.403663247306271, 13.403903832584792, 13.405580345711762, 13.406870907766155, 13.405841099225679, 13.402181224939255, 13.403286573988291, 13.40329618511618, 13.405982339853768, 13.405924600211046, 13.40381953121766, 13.400228193356298, 13.399230385173425, 13.390493376742288, 13.390458434698676, 13.390171374504728, 13.390067493793463, 13.38854925748502, 13.386911011678887, 13.386788346849798]","[52.511835634329934, 52.5124618536077, 52.513102093296865, 52.51537737781466, 52.51552340813901, 52.51651600158657, 52.51715540689093, 52.51676940600267, 52.515264659636955, 52.51465502756359, 52.513806597221745, 52.511392194449755, 52.51126217200385, 52.5114032908552, 52.51148921468747, 52.51006479866993, 52.508092723482875, 52.50938088958021, 52.50807689486944, 52.50760233051777, 52.50779818429521, 52.50777694027428, 52.50818736315766, 52.5092420358817, 52.51094982372883, 52.511835634329934]","[[13.386788346849798, 52.511835634329934], [13.396697871311726, 52.5124618536077], [13.39733819808221, 52.513102093296865], [13.396812292781082, 52.51537737781466], [13.398012066451006, 52.51552340813901], [13.402021102092593, 52.51651600158657], [13.403663247306271, 52.51715540689093], [13.403903832584792, 52.51676940600267], [13.405580345711762, 52.515264659636955], [13.406870907766155, 52.51465502756359], [13.405841099225679, 52.513806597221745], [13.402181224939255, 52.511392194449755], [13.403286573988291, 52.51126217200385], [13.40329618511618, 52.5114032908552], [13.405982339853768, 52.51148921468747], [13.405924600211046, 52.51006479866993], [13.40381953121766, 52.508092723482875], [13.400228193356298, 52.50938088958021], [13.399230385173425, 52.50807689486944], [13.390493376742288, 52.50760233051777], [13.390458434698676, 52.50779818429521], [13.390171374504728, 52.50777694027428], [13.390067493793463, 52.50818736315766], [13.38854925748502, 52.5092420358817], [13.386911011678887, 52.51094982372883], [13.386788346849798, 52.511835634329934]]"
01011301,"[13.37169227005196, 13.371720409219908, 13.370991438215006, 13.37100330284474, 13.373366414404114, 13.373795702276567, 13.37372103268465, 13.373835800272111, 13.370878633735684, 13.368983207377903, 13.365859845959214, 13.367881977583105, 13.36860930629956, 13.37298780549186, 13.374551334784067, 13.3749240562488, 13.387377230584507, 13.387289026683465, 13.388252246944514, 13.385142987626448, 13.381794027407205, 13.379498581321762, 13.377931226318335, 13.376634496225961, 13.376170672688907, 13.375881873004184, 13.375367710037581, 13.374764681213744, 13.373427046009544, 13.37169227005196]","[52.522781089184036, 52.52478432877867, 52.52523472805283, 52.52649827758191, 52.526525824727166, 52.526962536165804, 52.52764810710166, 52.527683402653764, 52.53044846232413, 52.53279434877987, 52.535659577614645, 52.53662106930558, 52.53599094046526, 52.5380286494877, 52.53703089548593, 52.53732467359589, 52.527331379997534, 52.5270355199422, 52.52194661182748, 52.52017358694558, 52.519182688059125, 52.51896761514793, 52.51920609100062, 52.51978025450176, 52.52025290489555, 52.52131360395984, 52.52183009238515, 52.522159543548504, 52.522660877546926, 52.522781089184036]","[[13.37169227005196, 52.522781089184036], [13.371720409219908, 52.52478432877867], [13.370991438215006, 52.52523472805283], [13.37100330284474, 52.52649827758191], [13.373366414404114, 52.526525824727166], [13.373795702276567, 52.526962536165804], [13.37372103268465, 52.52764810710166], [13.373835800272111, 52.527683402653764], [13.370878633735684, 52.53044846232413], [13.368983207377903, 52.53279434877987], [13.365859845959214, 52.535659577614645], [13.367881977583105, 52.53662106930558], [13.36860930629956, 52.53599094046526], [13.37298780549186, 52.5380286494877], [13.374551334784067, 52.53703089548593], [13.3749240562488, 52.53732467359589], [13.387377230584507, 52.527331379997534], [13.387289026683465, 52.5270355199422], [13.388252246944514, 52.52194661182748], [13.385142987626448, 52.52017358694558], [13.381794027407205, 52.519182688059125], [13.379498581321762, 52.51896761514793], [13.377931226318335, 52.51920609100062], [13.376634496225961, 52.51978025450176], [13.376170672688907, 52.52025290489555], [13.375881873004184, 52.52131360395984], [13.375367710037581, 52.52183009238515], [13.374764681213744, 52.522159543548504], [13.373427046009544, 52.522660877546926], [13.37169227005196, 52.522781089184036]]"
